2018/11/28 11:01:05 [error] 11443#0: *7862 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:05 [error] 11443#0: *7948 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:05 [error] 11443#0: *7912 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:05 [error] 11443#0: *7922 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:05 [error] 11443#0: *7805 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:05 [error] 11443#0: *7978 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:06 [error] 11443#0: *7814 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:06 [error] 11443#0: *7926 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:06 [error] 11443#0: *7930 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:07 [error] 11443#0: *7800 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:07 [error] 11443#0: *7797 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:07 [error] 11443#0: *7988 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:07 [error] 11443#0: *7886 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:07 [error] 11443#0: *7986 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:07 [error] 11443#0: *7882 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7856 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7868 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
